a	a	a	a
a	a	a	a
a	a	a	a
a capella	akapEla	a ca-pel-la	a-ka-pE-la
a cappella	akapEla	a cap-pel-la	a-ka-pE-la
a contrario	ak§tRaRjo	a con-tra-rio	a-k§-tRa-Rjo
a fortiori	afORsjoRi	a for-tio-ri	a-fOR-sjo-Ri
a giorno	adZjORno	a gior-no	ad-ZjOR-no
a jeun	aZ1	a jeun	a-Z1
a l'instar	al5staR	a l'ins-tar	a-l5s-taR
a posteriori	apOsteRjoRi	a pos-te-rio-ri	a-pOs-te-Rjo-Ri
a priori	apRijoRi	a prio-ri	a-pRi-jo-Ri
a priori	apRijoRi	a prio-ri	a-pRi-jo-Ri
aa	aa		a-a
ab absurdo	abapsuRdo	ab ab-sur-do	a-bap-suR-do
ab initio	abinisjo	ab i-ni-tio	a-bi-ni-sjo
ab ovo	abovo	ab o-vo	a-bo-vo
abaca	abaka		a-ba-ka
abaissa	abEsa	a-bais-sa	a-bE-sa
abaissai	abEsE	a-bais-sai	a-bE-sE
abaissaient	abEsE	a-bais-saient	a-bE-sE
abaissait	abEsE	a-bais-sait	a-bE-sE
abaissant	abEs@	a-bais-sant	a-bE-s@
abaissant	abEs@	a-bais-sant	a-bE-s@
abaissante	abEs@t		a-bE-s@t
abaisse	abEs	a-bais-se	a-bEs
abaisse	abEs	a-bais-se	a-bEs
abaisse-langue	abEsl@g	abaisse-langue	a-bE-sl@g
abaissement	abEs°m@	a-bais-se-ment	a-bE-s°-m@
abaissent	abEs	a-bais-sent	a-bEs
abaisser	abese	a-bais-ser	a-be-se
abaissera	abEs°Ra	a-bais-se-ra	a-bE-s°-Ra
abaisserai	abEs°RE	a-bais-se-rai	a-bE-s°-RE
abaisseraient	abEs°RE	a-bais-se-raient	a-bE-s°-RE
abaisserais	abEs°RE	a-bais-se-rais	a-bE-s°-RE
abaisserait	abEs°RE	a-bais-se-rait	a-bE-s°-RE
abaisses	abEs	a-bais-ses	a-bEs
abaissez	abEse	a-bais-sez	a-bE-se
abaissons	abEs§	a-bais-sons	a-bE-s§
abaissèrent	abEsER	a-bais-sè-rent	a-bE-sER
